name,mass (g),year,reclat,reclong,color
MacAlpine Hills 02653,0.21,2002,-84.216670,160.500000,1
MacAlpine Hills 02526,0.22,2002,-84.216670,160.500000,1
Meteorite Hills 00763,0.22,2000,-79.683330,155.750000,1
Grove Mountains 055055,0.23,2006,-72.998890,75.187220,1
Grove Mountains 021756,0.23,2003,-72.784700,75.289200,1
Grove Mountains 99018,0.23,2000,-73.083330,75.200000,1
Grove Mountains 055152,0.24,2006,-72.998890,75.187220,1
MacAlpine Hills 02525,0.24,2002,-84.216670,160.500000,1
MacAlpine Hills 02654,0.24,2002,-84.216670,160.500000,1
MacAlpine Hills 02692,0.24,2002,-84.216670,160.500000,1
Grove Mountains 055254,0.25,2006,-72.998890,75.187200,1
Grove Mountains 99020,0.25,2000,-73.083330,75.200000,1
Ramlat as Sahmah 405,0.26,2010,20.220020,56.020350,1
Ramlat as Sahmah 412,0.26,2010,20.202730,56.032300,1
Grove Mountains 054955,0.26,2006,-72.998890,75.187200,1
Ramlat as Sahmah 409,0.27,2010,20.217580,56.021250,1
Ramlat as Sahmah 410,0.28,2010,20.216680,56.021700,1
MacAlpine Hills 02709,0.28,2002,-84.216670,160.500000,1
Grove Mountains 050017,0.31,2006,-73.107500,75.173611,1
MacAlpine Hills 02696,0.31,2002,-84.216670,160.500000,1
Grove Mountains 055253,0.35,2006,-72.998890,75.187220,1
Grove Mountains 050132,0.36,2006,-72.981390,75.257780,1
MacAlpine Hills 02650,0.36,2002,-84.216670,160.500000,1
MacAlpine Hills 02651,0.36,2002,-84.216670,160.500000,1
Ramlat as Sahmah 408,0.37,2010,20.217920,56.021180,1
Grove Mountains 024448,0.38,2003,-72.775000,75.329720,1
MacAlpine Hills 02479,0.38,2002,-84.216670,160.500000,1
MacAlpine Hills 02690,0.38,2002,-84.216670,160.500000,1
Tieret 012,0.41,2010,30.933970,10.069430,1
Frontier Mountain 03073,0.41,2004,-72.953390,160.442310,1
Frontier Mountain 03096,0.41,2004,-72.951780,160.509970,1
Grove Mountains 023155,0.41,2003,-72.773600,75.338600,1
Grove Mountains 020234,0.44,2003,-72.983100,75.229200,1
Grove Mountains 020369,0.44,2003,-72.983900,75.246400,1
Grove Mountains 020395,0.44,2003,-72.983890,75.246390,1
Grove Mountains 020615,0.44,2003,-72.983890,75.246390,1
Grove Mountains 020942,0.44,2003,-72.983890,75.246390,1
Grove Mountains 021626,0.44,2003,-72.789170,75.285830,1
Grove Mountains 021892,0.44,2003,-72.778100,75.326400,1
Grove Mountains 022077,0.44,2003,-72.779200,75.310600,1
Grove Mountains 022081,0.44,2003,-72.779170,75.310560,1
Grove Mountains 022307,0.44,2003,-72.778890,75.301390,1
Grove Mountains 022346,0.44,2003,-72.772780,75.333330,1
Grove Mountains 022479,0.44,2003,-72.774440,75.322500,1
Grove Mountains 020397,0.45,2003,-72.983900,75.246400,1
Grove Mountains 021205,0.45,2003,-72.983610,75.245830,1
Grove Mountains 021224,0.45,2003,-72.983610,75.245830,1
Grove Mountains 021703,0.45,2003,-72.773330,75.338610,1
Grove Mountains 021771,0.45,2003,-72.775000,75.317500,1
Grove Mountains 021891,0.45,2003,-72.778100,75.326100,1
Grove Mountains 021911,0.45,2003,-72.776900,75.326400,1
Grove Mountains 022311,0.45,2003,-72.778890,75.301390,1
Grove Mountains 022495,0.45,2003,-72.775560,75.329440,1
Grove Mountains 022503,0.45,2003,-72.774440,75.319440,1
Grove Mountains 022570,0.45,2003,-72.774440,75.307500,1
Grove Mountains 023006,0.45,2003,-72.773900,75.328100,1
Grove Mountains 023535,0.45,2003,-72.983300,75.251400,1
Grove Mountains 023562,0.45,2003,-72.984170,75.246390,1
Grove Mountains 024066,0.45,2003,-72.997500,75.244170,1
Grove Mountains 024259,0.45,2003,-72.982500,75.250280,1
Grove Mountains 024262,0.45,2003,-72.982500,75.250280,1
MacAlpine Hills 02657,0.45,2002,-84.216670,160.500000,1
