46680,10285,50,42,2000/04/06
40883,10269,100,42,2000/04/26
40969,10294,100,47,2000/04/26
44286,11972,98,40,2000/05/02
44014,13193,50,41,2000/05/05
44286,11904,100,42,2000/05/06
44270,11950,100,43,2000/05/08
44220,12003/,137,40,2000/05/09
44248,11942,131,45,2000/05/10
44295,11854,48,40,2000/05/11
44293,11968,51,41,2000/05/11
44276,11905,39,41,2000/05/12
43151,12763,50,40,2000/06/11
44808,10703,50,45,2000/06/18
43363,12403,232,43,2000/06/22
41983,13036,50,40,2000/06/27
43928,12317,50,42,2000/08/01
44908,8388,50,48,2000/08/21
44326,10663,50,40,2000/10/03
37650,15013,50,40,2000/11/05
42528,12624,77,40,2000/12/16
44050,8616,135,40,2001/02/06
43603,7546,100,41,2001/02/25
38851,15735,2580,51,2001/05/17
47256,15634,100,50,2001/07/01
37673,15095,50,40,2001/07/13
46626,11049,35,48,2001/07/17
44943,8466,101,40,2001/07/18
38323,14741,2370,41,2001/08/17
38512,15101,2389,41,2001/10/18
37726,13970,50,40,2001/11/25
43598,12113,50,43,2001/11/26
46444,13229,121,48,2002/02/04
43014,18088,100,40,2002/04/16
39700,16844,50,43,2002/04/17
40612,15594,47,41,2002/04/18
44455,10768,187,41,2002/06/18
38381,13701,50,56,2002/09/06
38381,13670,50,42,2002/09/06
38467,13701,50,40,2002/09/10
38455,13742,50,44,2002/09/20
38438,13695,50,43,2002/09/27
38469,13709,50,40,2002/09/28
46414,13731,50,41,2002/09/30
38459,13714,87,42,2002/10/08
42686,17369,100,45,2002/10/23
37806,15002,50,40,2002/10/27
37799,15175,50,41,2002/10/27
37731,14983,50,40,2002/10/27
37760,15116,50,43,2002/10/27
37719,15164,50,40,2002/10/27
37792,15110,50,40,2002/10/29
37625,15119,50,43,2002/10/29
37786,15169,50,40,2002/10/29
37607,15213,50,40,2002/10/29
37667,15143,50,41,2002/10/29
41696,14928,100,54,2002/10/31
41719,14841,100,53,2002/11/01
41742,14848,100,41,2002/11/01
41713,14879,100,42,2002/11/01
44576,12263,88,41,2002/11/02
41702,14869,100,42,2002/11/04
41741,14805,100,41,2002/11/04
41679,14799,100,42,2002/11/12
45704,10129,50,42,2002/11/13
44999,14791,100,41,2003/01/17
43182,16166,100,42,2003/02/04
43095,15419,100,47,2003/03/27
43109,15464,100,54,2003/03/29
43170,15435,100,43,2003/03/30
43169,15527,100,46,2003/03/30
44758,8868,82,45,2003/04/11
43182,15549,100,40,2003/04/26
43260,15539,100,41,2003/04/27
43254,15572,100,44,2003/04/29
41661,14821,118,41,2003/06/01
43651,10189,65,40,2003/06/30
35268,14815,100,41,2003/07/07
44255,11380,83,50,2003/09/14
40339,14568,3781,46,2003/11/18
44162,12180,92,40,2003/12/07
39826,15197,50,42,2004/03/03
38520,14901,2553,53,2004/05/12
46357,13637,50,52,2004/07/12
40701,15684,50,40,2004/09/03
45316,14659,100,44,2004/09/07
43025,18003,100,41,2004/10/31
45685,10521,54,48,2004/11/24
43132,15443,100,49,2004/11/25
43087,15504,100,42,2004/12/03
43092,15371,100,42,2004/12/17
40898,10168,100,43,2004/12/18
46260,14152,100,40,2005/01/14
38635,15485,2214,42,2005/03/02
35474,15170,72,40,2005/04/12
39458,16826,191,41,2005/04/23
45544,14258,55,41,2005/04/24
42755,17416,125,44,2005/07/03
44207,12117,228,44,2005/07/08
40003,12711,5021,40,2005/07/26
41365,12446,174,46,2005/08/12
46008,6959,24,42,2005/09/08
37597,14105,632,47,2005/11/21
43365,17491,100,43,2006/01/28
38155,15200,92,41,2006/02/27
38898,9000,86,41,2006/03/24
43957,11798,270,43,2006/04/16
39572,17140,100,46,2006/04/18
41801,15903,312,45,2006/05/29
37630,16519,460,42,2006/05/30
39709,16623,100,45,2006/06/22
42074,15746,368,41,2006/10/03
43628,12980,363,42,2006/10/21
38658,15495,2207,58,2006/10/26
39690,13819,4598,47,2006/11/05
35878,18324,598,46,2006/11/07
35883,12679,281,46,2006/11/23
36232,15796,117,42,2006/11/24
42008,16281,332,42,2006/12/10
43318,17863,100,41,2007/02/03
45075,15110,100,43,2007/02/05
39985,15558,3025,44,2007/02/22
36926,12912,216,41,2007/04/10
39658,16834,100,42,2007/05/25
38831,15265,2793,52,2007/07/04
43769,15376,200,42,2007/07/18
41905,13671,157,40,2007/07/22
44898,10003,205,42,2007/07/30
39003,17176,100,42,2007/08/01
38275,15173,109,41,2007/08/18
39978,15850,2807,46,2007/12/01
42460,16430,100,40,2007/12/10
44510,10133,195,41,2007/12/28
37520,17990,443,42,2008/02/21
44063,11253,38,45,2008/03/01
44046,11227,52,40,2008/03/24
44342,9810,722,40,2008/03/26
39158,16525,98,41,2008/04/08
36152,12665,100,40,2008/07/02
38895,15435,2437,41,2008/10/30
39169,17373,269,40,2008/11/20
37617,13823,353,42,2008/11/28
39168,15586,2694,51,2008/12/17
44544,10345,229,49,2008/12/23
44527,10355,237,44,2008/12/23
44582,10256,194,40,2008/12/24
42321,13376,98,40,2009/03/30
44230,11913,245,45,2009/04/05
42342,13380,83,61,2009/04/05
42352,13346,97,47,2009/04/06
42417,13402,110,41,2009/04/06
42377,13319,85,40,2009/04/06
42364,13456,87,43,2009/04/06
42300,13429,105,42,2009/04/06
42360,13328,87,49,2009/04/06
42335,13386,93,43,2009/04/06
42356,13383,90,41,2009/04/06
42363,13339,100,43,2009/04/06
42463,13385,97,50,2009/04/06
42336,13387,96,49,2009/04/07
42303,13486,171,54,2009/04/07
42364,13365,96,43,2009/04/07
42489,13351,110,52,2009/04/09
42335,13444,171,42,2009/04/09
42445,13434,98,41,2009/04/09
42504,13350,93,50,2009/04/09
42498,13377,90,48,2009/04/13
44735,7868,453,41,2009/04/19
42247,13484,103,40,2009/04/23
42228,13486,97,42,2009/04/23
47700,7700,170,43,2009/05/21
47600,15700,100,44,2009/05/22
43394,17339,58,48,2009/06/21
42445,13354,138,44,2009/06/22
42328,13379,101,42,2009/07/12
41397,18814,100,42,2009/07/28
41648,13669,157,40,2009/08/06
38728,14044,255,47,2009/09/07
43264,18004,100,40,2009/09/07
44025,11275,70,42,2009/09/14
43399,13418,378,45,2009/09/20
37514,17984,398,44,2009/11/01
37634,13851,340,41,2009/11/07
37847,14557,76,44,2009/11/08
39552,15550,3061,41,2009/11/23
43007,12271,88,42,2009/12/15
37771,14954,247,43,2009/12/19
37782,14974,269,44,2009/12/19
43119,13445,169,40,2010/01/10
43119,13451,171,41,2010/01/12
43135,13433,181,41,2010/01/12
37797,15151,34,40,2010/04/21
39688,13850,6165,40,2010/05/27
43703,17113,100,44,2010/06/20
38410,14919,169,46,2010/08/16
42834,12654,67,41,2010/08/28
45567,14259,100,40,2010/09/15
41472,15623,60,42,2010/09/17
44205,12383,265,40,2010/10/13
38873,16633,372,43,2010/10/15
39983,13274,5056,54,2010/11/03
35162,14195,100,40,2010/11/10
35080,9420,100,46,2010/11/13
43180,18940,20,40,2010/12/24
43140,18784,100,41,2011/01/22
43136,18859,100,44,2011/01/27
47510,18380,50,43,2011/01/28
43867,17358,100,40,2011/02/08
44348,17795,100,40,2011/04/16
35826,14905,97,43,2011/04/24
44738,17308,100,45,2011/04/28
37790,14963,281,41,2011/05/06
44949,15040,100,42,2011/05/06
39065,15130,2979,46,2011/05/19
38064,14784,73,45,2011/06/23
42026,7625,458,47,2011/07/07
43927,11855,76,41,2011/07/12
45010,11367,24,45,2011/07/17
45016,7365,110,43,2011/07/25
43390,17560,20,41,2011/08/15
42389,18472,100,40,2011/09/25
44521,9393,51,40,2011/10/20
39872,14989,3440,40,2011/11/04
38274,14671,84,41,2011/11/15
42930,17890,20,40,2011/12/16
35976,12652,321,45,2011/12/18
44871,10510,290,49,2012/01/25
44523,10009,724,49,2012/01/27
44502,6759,104,41,2012/02/26
44494,9354,108,40,2012/03/05
38345,13304,92,43,2012/04/13
44911,11247,93,40,2012/05/19
44896,11264,95,58,2012/05/20
44879,11120,50,48,2012/05/20
44905,11165,43,48,2012/05/20
44874,11270,61,50,2012/05/20
44834,11340,49,43,2012/05/20
44860,11341,109,43,2012/05/20
44870,11219,67,43,2012/05/20
44852,10948,50,42,2012/05/20
44890,11115,49,41,2012/05/20
44825,11479,259,40,2012/05/20
44881,11227,66,40,2012/05/20
44860,11152,91,50,2012/05/20
44868,11236,72,42,2012/05/20
44814,11441,34,49,2012/05/20
44833,11351,83,41,2012/05/20
44865,11305,54,42,2012/05/20
44880,11253,37,46,2012/05/20
44866,11306,36,41,2012/05/21
39869,16102,83,43,2012/05/28
44842,11066,81,56,2012/05/29
44846,10990,35,40,2012/05/29
44865,10948,79,50,2012/05/29
44883,11042,60,46,2012/05/29
44870,10966,41,41,2012/05/29
44877,10947,65,41,2012/05/29
44884,11002,64,41,2012/05/29
44857,11101,25,40,2012/05/29
44865,10980,44,53,2012/05/29
44856,10941,87,50,2012/05/29
44866,10976,72,51,2012/05/29
44893,11033,80,40,2012/05/29
44886,10950,87,47,2012/06/03
44400,12322,311,40,2012/06/06
46180,12488,69,40,2012/06/08
39796,6718,89,42,2012/06/18
37475,16799,384,45,2012/07/04
38415,15160,1750,41,2012/07/04
44241,18002,100,48,2012/07/27
44233,17958,100,46,2012/07/30
41727,16254,291,42,2012/08/12
38528,13728,268,41,2012/08/13
38205,15728,489,45,2012/08/28
41176,14921,103,42,2012/09/27
38492,14825,2501,42,2012/09/29
44783,9670,238,43,2012/10/03
39670,15742,2755,46,2012/10/16
39875,16016,97,52,2012/10/25
42532,18989,100,43,2012/11/12
38235,15854,784,44,2012/11/13
42522,18961,100,45,2012/11/13
46190,14785,73,41,2012/12/030
42915,13662,175,41,2012/12/05
37879,14720,151,42,2013/01/04
43780,16550,50,42,2013/01/16
44164,10446,198,48,2013/01/25
46462,14633,100,44,2013/02/02
43760,16450,100,43,2013/02/08
41714,13570,171,48,2013/02/16
37708,16471,382,44,2013/03/24
45780,14830,100,42,2013/06/21
44131,10136,70,51,2013/06/21
44163,10135,81,40,2013/06/21
44168,10201,92,44,2013/06/23
44160,10187,61,45,2013/06/30
43816,12055,85,40,2013/07/11
43509,13723,79,49,2013/07/21
43503,13715,86,40,2013/07/21
45140,15080,200,42,2013/07/26
38163,14914,256,44,2013/08/15
38163,14914,248,42,2013/08/18
43539,13724,89,42,2013/08/22
36714,15077,87,40,2013/08/24
39579,15247,3232,43,2013/09/02
43648,16950,81,48,2013/11/18
38215,15569,103,40,2013/12/23
43054,17209,100,40,2013/12/29
41395,14434,204,50,2013/12/29
41367,14452,172,42,2014/01/20
45673,14896,83,43,2014/03/13
38766,17253,752,47,2014/04/05
44498,6707,111,47,2014/04/07
45622,14253,100,43,2014/04/22
39900,16091,82,40,2014/06/06
38691,15730,1756,43,2014/08/04
44420,16280,100,41,2014/08/28
44119,10672,175,41,2014/09/07
36742,16435,391,40,2014/09/26
36830,16480,430,41,2014/09/28
38472,14727,249,43,2014/12/01
40456,15141,3291,40,2014/12/14
43606,11241,86,41,2014/12/19
41707,14956,180,40,2014/12/24
39289,16358,140,43,2014/12/28
44128,11121,96,43,2015/01/23
38696,15156,2558,47,2015/02/26
41950,13534,106,41,2015/02/28
38906,15471,2566,43,2015/04/15
44250,11909,222,40,2015/04/08
38605,15364,2147,45,2015/05/09
37183,16790,469,44,2015/05/11
42965,14384,146,42,2015/05/29
39400,15738,2473,40,2015/08/02
39148,16490,192,40,2015/08/08
38551,14270,195,41,2015/08/08
46314,13589,62,40,2015/08/29
38816,14833,3007,42,2015/10/16
39424,15731,2496,44,2015/10/16
45878,15573,101,48,2015/11/01
42408,15197,100,42,2015/7/12
42401,15239,120,44,2015/12/06
38342,13566,227,42,2015/12/20
36464,11984,288,42,2016/01/02
39840,15597,2864,41,2016/01/06
36070,14791,152,41,2016/01/13
41527,14599,102,43,2016/01/16
36975,14868,74,42,2016/02/08
43002,17450,198,45,2016/02/14
38198,16743,386,40,2016/03/06
42700,11976,79,41,2016/05/30
36387,11136,195,43,2016/06/02
42698,13234,81,60,2016/08/16
42712,13253,90,45,2016/08/24
42601,13276,77,43,2016/08/24
42792,13151,80,54,2016/08/24
42614,13244,107,41,2016/08/24
42771,13124,62,44,2016/08/24
42820,13160,98,45,2016/08/24
42659,13215,103,42,2016/08/24
42654,13210,118,40,2016/08/24
42745,13193,90,43,2016/08/25
42600,13282,75,44,2016/08/25
42605,13292,87,48,2016/08/26
42843,13238,78,40,2016/08/27
42823,13232,87,42,20160/8/28
42770,13132,89,42,2016/09/03
42861,13217,83,43,2016/09/03
42748,13176,92,40,2016/10/16
42880,13128,87,54,2016/10/26
42909,13129,75,59,2016/10/26
42863,13121,99,45,2016/10/26
42843,13143,92,40,2016/10/27
42984,13120,87,41,2016/10/27
42873,13097,94,43,2016/10/27
42839,13099,90,42,2016/10/27
39267,13547,4814,58,2016/10/28
39951,15840,2755,43,2016/10/29
42811,13095,109,41,2016/10/29
42832,13111,92,65,2016/10/30
42772,13136,93,43,2016/10/30
42767,13138,97,40,2016/10/30
42855,13085,83,46,2016/10/30
42712,13197,108,41,2016/10/30
42751,13231,109,41,2016/10/30
42799,13108,105,42,2016/10/30
42876,13053,99,41,2016/10/30
42777,13223,94,40,2016/10/30
42826,13060,100,40,2016/10/30
42796,13161,91,41,2016/10/30
42874,13057,99,41,2016/10/30
42715,13188,102,42,2016/10/30
42713,13142,99,43,2016/10/30
42693,13226,106,45,2016/10/30
42922,13129,99,40,2016/10/30
42832,13083,101,43,2016/10/30
35268,16139,200,44,2016/10/30
43065,13067,81,40,2016/10/30
42840,13056,102,40,2016/10/30
42845,13078,97,45,2016/10/30
42803,13165,92,41,2016/10/30
42790,13152,96,40,2016/10/30
42766,13085,106,40,2016/10/31
42841,13129,100,40,2016/10/31
43000,13158,99,48,2016/11/01
43029,13049,84,47,2016/11/03
42723,13209,101,41,2016/11/12
42860,13158,110,40,2016/11/14
